epoch_for_cdf_mod,proton_density,numden_p_uncer,proton_bulk_speed,bulk_p_uncer,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,thermal_p_uncer,alpha_density,numden_a_uncer,alpha_bulk_speed,bulk_a_uncer,alpha_thermal,thermal_a_uncer,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-06-25 16:57:00.923,8.80630807883848,-1e+31,416.6633975220519,-1e+31,-416.6633975220519,11.843134421139723,11.121859622065244,51.24161174153026,-1e+31,0.1831954750905173,-1e+31,410.55887110377273,-1e+31,30.08628949166188,-1e+31,1276048.688787204,69348.65634825706,-105562.37826975377
2025-06-25 16:57:05.923,8.768559556936413,-1e+31,419.0486713428972,-1e+31,-419.0486713428972,-1.043087859068084,5.052402065539859,51.684992003825045,-1e+31,0.1770952344559854,-1e+31,411.0274505560366,-1e+31,31.653244386441155,-1e+31,1276048.7025553144,69350.1675286968,-105562.34731357242
2025-06-25 16:57:10.924,8.737922637109891,-1e+31,415.3701919517544,-1e+31,-415.3701919517544,1.5457346667539973,8.4387576487632,52.258494361715734,-1e+31,0.1780515031265808,-1e+31,409.41938378152497,-1e+31,31.24315340180735,-1e+31,1276048.716322896,69351.6787087209,-105562.31635687198
2025-06-25 16:57:15.924,8.616334682617705,-1e+31,416.41062125052116,-1e+31,-416.41062125052116,-1.3798564005230922,6.2715607385171666,50.68276331696404,-1e+31,0.17323597040511854,-1e+31,409.44646733720367,-1e+31,28.26287408047351,-1e+31,1276048.7300901692,69353.1899182833,-105562.28539900802
2025-06-25 16:57:20.924,8.674039207019842,-1e+31,414.76171013651253,-1e+31,-414.76171013651253,-0.7545828326048074,-0.6450787901651722,50.51696380628575,-1e+31,0.17886292784019092,-1e+31,409.69327931113054,-1e+31,29.175916697390946,-1e+31,1276048.7438567032,69354.70109758578,-105562.25444118958
2025-06-25 16:57:25.924,8.55295883027541,-1e+31,417.8831143406164,-1e+31,-417.8831143406164,1.170073212344846,4.921972077343071,50.13341085910873,-1e+31,0.18092111808635158,-1e+31,409.64243310262634,-1e+31,29.588345673791842,-1e+31,1276048.7576228979,69356.21230676479,-105562.22348218388
2025-06-25 16:57:30.924,8.666750910089636,-1e+31,416.3482960826528,-1e+31,-416.3482960826528,3.9124637477313122,4.25697075420517,49.418066375662086,-1e+31,0.17408496771125148,-1e+31,409.23389174286905,-1e+31,29.57728097792935,-1e+31,1276048.7713886083,69357.72351539378,-105562.19252267585
2025-06-25 16:57:35.924,8.75264388669572,-1e+31,417.09932139601636,-1e+31,-417.09932139601636,3.7455917381208685,-2.0552202709482543,50.66826070052627,-1e+31,0.1714667723072985,-1e+31,409.8339347315377,-1e+31,27.849910424757866,-1e+31,1276048.785153415,69359.23469315692,-105562.16156320024
2025-06-25 16:57:40.924,8.658214212804888,-1e+31,414.64984422340433,-1e+31,-414.64984422340433,2.1531380963954945,5.539282206138623,50.126777383159926,-1e+31,0.18430958969421563,-1e+31,408.92793632789767,-1e+31,28.159011252586833,-1e+31,1276048.798917735,69360.74587012557,-105562.1306031883
2025-06-25 16:57:45.924,8.450197521841506,-1e+31,415.9916618749649,-1e+31,-415.9916618749649,1.767393466920769,5.26621737977549,50.52811682763514,-1e+31,0.17359268028721567,-1e+31,409.25658173003853,-1e+31,28.500457117271438,-1e+31,1276048.8126817984,69362.25707606006,-105562.09964203474
2025-06-25 16:57:50.924,8.822885728093544,-1e+31,415.256603902162,-1e+31,-415.256603902162,0.4760480888685521,-2.3782244331169338,49.903563723135115,-1e+31,0.18053130138137768,-1e+31,409.1148490339542,-1e+31,29.32920661663537,-1e+31,1276048.8264450207,69363.76825202929,-105562.06868090632
2025-06-25 16:57:55.924,8.408908731405004,-1e+31,416.07992132863905,-1e+31,-416.07992132863905,3.0573851194221113,6.273509311651388,51.001529229118496,-1e+31,0.18415112245389612,-1e+31,408.3903314402415,-1e+31,28.946332695826428,-1e+31,1276048.8402079486,69365.27945814468,-105562.03771860927
2025-06-25 16:58:00.924,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,4.3121587935712995,5.072200072192807,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1276048.8539701626,69366.790633946,-105562.00675643631
2025-06-25 16:58:05.924,8.665319547602941,-1e+31,415.5454524956679,-1e+31,-415.5454524956679,4.156686003601486,5.192961929882927,52.47066402977004,-1e+31,0.18522968343975021,-1e+31,408.1482633506162,-1e+31,30.5336330522875,-1e+31,1276048.867732027,69368.30183975925,-105561.97579305025
2025-06-25 16:58:10.924,8.198486233180876,-1e+31,414.13340782615825,-1e+31,-414.13340782615825,4.788263506713125,3.2500062127035676,50.72493438408516,-1e+31,0.17026290094020227,-1e+31,407.7437835494535,-1e+31,29.735910489670584,-1e+31,1276048.8814931347,69369.81301496075,-105561.94482976274
2025-06-25 16:58:15.924,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.7689668902710878,11.452482727180254,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1276048.8952536741,69371.32418937045,-105561.9138659102
2025-06-25 16:58:20.924,8.651098589673651,-1e+31,412.8495789284561,-1e+31,-412.8495789284561,3.4771390907963955,-0.6548149468511681,50.75089994695402,-1e+31,0.18287178579693644,-1e+31,407.46749784656254,-1e+31,29.234244379367954,-1e+31,1276048.9090141533,69372.83542404188,-105561.88290024438
2025-06-25 16:58:25.924,8.558520514398454,-1e+31,416.9658247377097,-1e+31,-416.9658247377097,3.2860579615542136,0.03252660151775899,49.1616177519265,-1e+31,0.18284049277817307,-1e+31,408.7886685647141,-1e+31,27.549167767479837,-1e+31,1276048.922773632,69374.34659783929,-105561.85193532164
2025-06-25 16:58:30.924,8.813394379137842,-1e+31,413.6106828866804,-1e+31,-413.6106828866804,5.912856119250538,-4.252268136580589,49.98197395811428,-1e+31,0.1870971507658977,-1e+31,407.20153691692786,-1e+31,28.605462146124598,-1e+31,1276048.9365325535,69375.85777122696,-105561.82096979435
2025-06-25 16:58:35.924,8.418929009119882,-1e+31,415.6474931671755,-1e+31,-415.6474931671755,1.2221715665384778,3.7074546588335906,50.953757153707556,-1e+31,0.18466686265496537,-1e+31,408.3628629798417,-1e+31,28.267600937928485,-1e+31,1276048.950291175,69377.36897444578,-105561.79000313807
2025-06-25 16:58:40.924,8.639494232610373,-1e+31,413.9695114121592,-1e+31,-413.9695114121592,6.364057814943543,-1.4588355334446348,50.81570501571693,-1e+31,0.17767915963546582,-1e+31,408.66052343945535,-1e+31,29.83182908853563,-1e+31,1276048.9640490396,69378.88014701923,-105561.75903657288
2025-06-25 16:58:45.924,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,4.195644851576414,6.752836899654653,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1276048.9778063728,69380.39131914568,-105561.72806941549
2025-06-25 16:58:50.924,8.719921617446476,-1e+31,420.17171441376036,-1e+31,-420.17171441376036,5.321369520653835,4.9286723593584725,49.648697264639,-1e+31,0.17165675598589844,-1e+31,412.1958339766687,-1e+31,29.383566051951796,-1e+31,1276048.991563085,69381.90249088743,-105561.69710173103
